-0,0  -0,0  0,0  0,0  0,002
0,0  -0,33  -0,0  0,33  0,004
-0,0  -0,59  -0,0  0,59  0,006
-0,0  -0,78  -0,0  0,78  0,008
-0,0  -0,92  -0,0  0,92  0,01
-0,0  -1,03  -0,0  1,03  0,012
-0,0  -1,12  -0,0  1,12  0,014
-0,0  -1,19  -0,0  1,19  0,016
-0,0  -1,24  -0,0  1,24  0,018000000000000002
-0,0  -1,28  -0,0  1,28  0,020000000000000004
-0,01  -1,31  -0,0  1,31  0,022000000000000006
-0,01  -1,34  -0,0  1,34  0,024000000000000007
-0,01  -1,36  -0,0  1,36  0,02600000000000001
-0,01  -1,38  -0,0  1,38  0,02800000000000001
-0,01  -1,4  -0,0  1,4  0,030000000000000013
-0,02  -1,41  -0,0  1,41  0,032000000000000015
-0,02  -1,42  -0,0  1,42  0,034000000000000016
-0,02  -1,44  -0,0  1,44  0,03600000000000002
-0,03  -1,45  -0,0  1,45  0,03800000000000002
-0,03  -1,46  -0,0  1,46  0,04000000000000002
-0,04  -1,47  -0,0  1,47  0,04200000000000002
-0,04  -1,47  -0,0  1,47  0,044000000000000025
-0,04  -1,48  -0,0  1,48  0,04600000000000003
-0,05  -1,49  -0,0  1,49  0,04800000000000003
-0,05  -1,5  -0,0  1,5  0,05000000000000003
-0,06  -1,5  -0,0  1,51  0,05200000000000003
-0,07  -1,51  -0,0  1,51  0,054000000000000034
-0,07  -1,52  -0,0  1,52  0,056000000000000036
-0,08  -1,52  -0,0  1,53  0,05800000000000004
-0,08  -1,53  -0,0  1,53  0,06000000000000004
-0,09  -1,54  -0,0  1,54  0,06200000000000004
-0,1  -1,54  -0,0  1,54  0,06400000000000004
-0,1  -1,55  -0,0  1,55  0,06600000000000004
-0,11  -1,55  -0,0  1,56  0,06800000000000005
-0,12  -1,56  -0,0  1,56  0,07000000000000005
-0,12  -1,56  -0,0  1,57  0,07200000000000005
-0,13  -1,57  -0,0  1,57  0,07400000000000005
-0,14  -1,57  -0,0  1,58  0,07600000000000005
-0,15  -1,57  -0,0  1,58  0,07800000000000006
-0,16  -1,58  -0,0  1,59  0,08000000000000006
-0,16  -1,58  -0,0  1,59  0,08200000000000006
-0,17  -1,59  -0,0  1,6  0,08400000000000006
-0,18  -1,59  -0,0  1,6  0,08600000000000006
-0,19  -1,59  -0,0  1,61  0,08800000000000006
-0,2  -1,6  -0,0  1,61  0,09000000000000007
-0,21  -1,6  -0,0  1,61  0,09200000000000007
-0,22  -1,6  -0,0  1,62  0,09400000000000007
-0,23  -1,61  -0,0  1,62  0,09600000000000007
-0,24  -1,61  -0,0  1,63  0,09800000000000007
-0,25  -1,61  -0,0  1,63  0,10000000000000007
-0,26  -1,61  -0,0  1,64  0,10200000000000008
-0,27  -1,62  -0,0  1,64  0,10400000000000008
-0,28  -1,62  -0,0  1,64  0,10600000000000008
-0,29  -1,62  -0,0  1,65  0,10800000000000008
-0,3  -1,62  -0,0  1,65  0,11000000000000008
-0,31  -1,63  0,0  1,66  0,11200000000000009
-0,32  -1,63  -0,0  1,66  0,11400000000000009
-0,33  -1,63  0,0  1,66  0,11600000000000009
-0,34  -1,63  -0,0  1,67  0,11800000000000009
-0,35  -1,63  -0,0  1,67  0,12000000000000009
-0,36  -1,63  0,0  1,67  0,1220000000000001
-0,38  -1,64  0,0  1,68  0,1240000000000001
-0,39  -1,64  0,0  1,68  0,12600000000000008
-0,4  -1,64  -0,0  1,69  0,12800000000000009
-0,41  -1,64  0,0  1,69  0,1300000000000001
-0,42  -1,64  -0,0  1,69  0,1320000000000001
-0,44  -1,64  0,0  1,7  0,1340000000000001
-0,45  -1,64  0,0  1,7  0,1360000000000001
-0,46  -1,64  0,0  1,71  0,1380000000000001
-0,44  -1,65  0,0  1,71  0,1400000000000001
-0,46  -1,69  0,0  1,75  0,1420000000000001
-0,47  -1,72  0,0  1,78  0,1440000000000001
-0,49  -1,74  0,0  1,8  0,1460000000000001
-0,5  -1,75  0,0  1,82  0,1480000000000001
-0,57  -1,76  -0,0  1,84  0,1500000000000001
-0,58  -1,7  0,0  1,8  0,1520000000000001
-0,59  -1,67  0,0  1,77  0,1540000000000001
-0,6  -1,64  0,0  1,75  0,1560000000000001
-0,61  -1,62  0,0  1,73  0,1580000000000001
-0,62  -1,6  0,0  1,72  0,16000000000000011
-0,64  -1,59  0,0  1,72  0,16200000000000012
-0,65  -1,59  0,0  1,71  0,16400000000000012
-0,66  -1,58  0,0  1,71  0,16600000000000012
-0,68  -1,58  0,0  1,72  0,16800000000000012
-0,69  -1,57  0,0  1,72  0,17000000000000012
-0,7  -1,57  0,0  1,72  0,17200000000000013
-0,72  -1,57  0,0  1,73  0,17400000000000013
-0,73  -1,57  0,0  1,73  0,17600000000000013
-0,75  -1,57  0,0  1,74  0,17800000000000013
-0,76  -1,57  0,0  1,75  0,18000000000000013
-0,78  -1,57  0,0  1,75  0,18200000000000013
-0,79  -1,57  0,0  1,76  0,18400000000000014
-0,8  -1,57  0,0  1,77  0,18600000000000014
-0,82  -1,57  0,0  1,77  0,18800000000000014
-0,83  -1,57  0,0  1,78  0,19000000000000014
-0,85  -1,57  0,0  1,79  0,19200000000000014
-0,86  -1,58  0,0  1,8  0,19400000000000014
-0,88  -1,58  0,0  1,8  0,19600000000000015
-0,89  -1,58  0,0  1,81  0,19800000000000015
-0,91  -1,58  0,0  1,82  0,20000000000000015
-0,92  -1,58  0,0  1,83  0,20200000000000015
-0,94  -1,58  0,0  1,84  0,20400000000000015
-0,95  -1,58  0,0  1,84  0,20600000000000016
-0,97  -1,58  0,0  1,85  0,20800000000000016
-0,98  -1,58  0,0  1,86  0,21000000000000016
-1,0  -1,58  0,0  1,87  0,21200000000000016
-1,01  -1,58  0,0  1,88  0,21400000000000016
-1,03  -1,58  0,0  1,89  0,21600000000000016
-1,04  -1,59  0,0  1,9  0,21800000000000017
-1,06  -1,59  0,0  1,91  0,22000000000000017
-1,07  -1,59  0,0  1,92  0,22200000000000017
-1,09  -1,59  0,0  1,92  0,22400000000000017
-1,1  -1,59  0,0  1,93  0,22600000000000017
-1,12  -1,59  0,0  1,94  0,22800000000000017
-1,13  -1,59  0,0  1,95  0,23000000000000018
-1,15  -1,59  0,0  1,96  0,23200000000000018
-1,16  -1,59  0,0  1,97  0,23400000000000018
-1,18  -1,59  0,0  1,98  0,23600000000000018
-1,2  -1,59  0,0  1,99  0,23800000000000018
-1,21  -1,59  0,0  2,0  0,24000000000000019
-1,23  -1,59  0,0  2,01  0,2420000000000002
-1,2  -1,6  0,0  2,0  0,2440000000000002
-1,22  -1,62  0,0  2,02  0,2460000000000002
-1,24  -1,63  0,0  2,05  0,2480000000000002
-1,25  -1,64  0,0  2,06  0,25000000000000017
-1,27  -1,65  0,0  2,08  0,25200000000000017
-1,29  -1,65  0,0  2,1  0,25400000000000017
-1,3  -1,66  0,0  2,11  0,25600000000000017
-1,32  -1,66  0,0  2,12  0,2580000000000002
-1,34  -1,66  0,0  2,13  0,2600000000000002
-1,35  -1,66  0,0  2,15  0,2620000000000002
-1,37  -1,67  0,0  2,16  0,2640000000000002
-1,39  -1,67  0,0  2,17  0,2660000000000002
-1,4  -1,67  0,0  2,18  0,2680000000000002
-1,42  -1,67  0,0  2,19  0,2700000000000002
-1,44  -1,66  0,0  2,2  0,2720000000000002
-1,45  -1,66  0,0  2,21  0,2740000000000002
-1,47  -1,66  0,0  2,22  0,2760000000000002
-1,48  -1,66  0,0  2,23  0,2780000000000002
-1,5  -1,66  0,0  2,24  0,2800000000000002
-1,52  -1,66  0,0  2,25  0,2820000000000002
-1,53  -1,66  0,0  2,26  0,2840000000000002
-1,55  -1,66  0,0  2,27  0,2860000000000002
-1,57  -1,66  0,0  2,28  0,2880000000000002
-1,58  -1,66  0,0  2,29  0,2900000000000002
-1,6  -1,65  0,0  2,3  0,2920000000000002
-1,61  -1,65  0,0  2,31  0,2940000000000002
-1,63  -1,65  0,0  2,32  0,2960000000000002
-1,65  -1,65  0,0  2,33  0,2980000000000002
-1,66  -1,65  0,0  2,34  0,3000000000000002
-1,68  -1,65  0,0  2,35  0,3020000000000002
-1,69  -1,65  0,0  2,36  0,3040000000000002
-1,71  -1,65  0,0  2,37  0,3060000000000002
-1,73  -1,64  0,0  2,38  0,3080000000000002
-1,74  -1,64  0,0  2,4  0,3100000000000002
-1,76  -1,64  0,0  2,41  0,3120000000000002
-1,78  -1,64  0,0  2,42  0,3140000000000002
-1,79  -1,64  0,0  2,43  0,3160000000000002
-1,78  -1,64  0,0  2,42  0,3180000000000002
-1,8  -1,64  0,0  2,44  0,32000000000000023
-1,82  -1,65  0,0  2,45  0,32200000000000023
-1,83  -1,65  0,0  2,47  0,32400000000000023
-1,85  -1,65  0,0  2,48  0,32600000000000023
-1,87  -1,65  0,0  2,49  0,32800000000000024
